ISO_A2,University,Count,Country,Region
RU,Academy of Management and Entrepreneurship,316,Russia,Europe
RU,Adygeja State University,316,Russia,Europe
RU,Altai State Medical University,316,Russia,Europe
RU,Altai State Technical University,316,Russia,Europe
RU,Altai State University,316,Russia,Europe
RU,Amur State University,316,Russia,Europe
RU,Arhangelsk State Technical University,316,Russia,Europe
RU,Astrahan State Medical Academy,316,Russia,Europe
RU,Astrahan State Technical University,316,Russia,Europe
RU,Astrakhan State University,316,Russia,Europe
RU,Baikal National University of Economics and Law,316,Russia,Europe
RU,Baltic State Technical University,316,Russia,Europe
RU,Bashkir State Agrarian University,316,Russia,Europe
RU,Bashkir State Medical University,316,Russia,Europe
RU,Bashkir State Pedagogical University named After M. Akmullah,316,Russia,Europe
RU,Bashkir State University,316,Russia,Europe
RU,Bauman Moscow State Technical University,316,Russia,Europe
RU,Belgorod State Agricultural Academy,316,Russia,Europe
RU,Belgorod State Technical University,316,Russia,Europe
RU,Belgorod State University,316,Russia,Europe
RU,Birsk State Pedagogical Institute,316,Russia,Europe
RU,Biysk State Padagogical University after V.M. Shukshin ,316,Russia,Europe
RU,Bratsk State Technical University,316,Russia,Europe
RU,Brjansk State Technical University,316,Russia,Europe
RU,Burjat State University,316,Russia,Europe
RU,Cheljabinsk State Institute of Teacher Training,316,Russia,Europe
RU,Cheljabinsk State University,316,Russia,Europe
RU,Cheljabinsk University of Agricultural Engineering,316,Russia,Europe
RU,Chuvash State University,316,Russia,Europe
RU,Dagestan State University,316,Russia,Europe
RU,Don State Agrarian University,316,Russia,Europe
RU,Don State Technical University,316,Russia,Europe
RU,"Dubna International University for Nature, Society and Man",316,Russia,Europe
RU,East-Siberian State Institute of Culture,316,Russia,Europe
RU,East-Siberian State University,316,Russia,Europe
RU,East-Siberian State University of Technology,316,Russia,Europe
RU,European University at St.Petersburg,316,Russia,Europe
RU,Far Easten State University of Humanities,316,Russia,Europe
RU,Far Eastern State Technical Fisheries University,316,Russia,Europe
RU,Far Eastern State Technical University,316,Russia,Europe
RU,Far Eastern State University,316,Russia,Europe
RU,Far East State Transport University,316,Russia,Europe
RU,Finance Academy,316,Russia,Europe
RU,Gnesins Russian Academy of Music,316,Russia,Europe
RU,Gorno-Altaisk State University,316,Russia,Europe
RU,Gubkin Russian State University of Oil and Gas,316,Russia,Europe
RU,Herzen State Pedagogical University of Russia,316,Russia,Europe
RU,Higher School of Economics,316,Russia,Europe
RU,Immanuel Kant State University of Russia,316,Russia,Europe
RU,I.M. Sechenov Moscow Medical Academy,316,Russia,Europe
