ISO_A2,University,Count,Country
ZW,Africa University,15,Zimbabwe
ZW,Bindura University of Science Education,15,Zimbabwe
ZW,Catholic University in Zimbabwe,15,Zimbabwe
ZW,Chinhoyi University of Technology,15,Zimbabwe
ZW,Great Zimbabwe University,15,Zimbabwe
ZW,Harare Institute of Technology,15,Zimbabwe
ZW,Lupane State University,15,Zimbabwe
ZW,Midlands State University,15,Zimbabwe
ZW,National University of Science and Technology Bulawayo,15,Zimbabwe
ZW,Reformed Church University,15,Zimbabwe
ZW,Solusi University,15,Zimbabwe
ZW,University of Zimbabwe,15,Zimbabwe
ZW,Women's University in Africa,15,Zimbabwe
ZW,Zimbabwe Ezekiel Guti University,15,Zimbabwe
ZW,Zimbabwe Open University,15,Zimbabwe
ZM,Cavendish University,8,Zambia
ZM,Copperbelt University,8,Zambia
ZM,Mulungushi University,8,Zambia
ZM,Northrise University,8,Zambia
ZM,Rusangu University,8,Zambia
ZM,University of Lusaka,8,Zambia
ZM,University of Zambia,8,Zambia
ZM,Zambian Open University,8,Zambia
YE,Alahgaff University,14,Yemen
YE,Al-Eman University,14,Yemen
YE,Al-Nasser University,14,Yemen
YE,Hadhramout University of Science and Technology ,14,Yemen
YE,Hodeidah University,14,Yemen
YE,Queen Arwa University,14,Yemen
YE,Saba University,14,Yemen
YE,Sana'a University,14,Yemen
YE,Taiz University,14,Yemen
YE,Thamar University,14,Yemen
YE,University of Aden,14,Yemen
YE,University of Modern Sciences,14,Yemen
YE,University of Science and Technology Sana'a,14,Yemen
YE,Yemenia University,14,Yemen
VI,University of the Virgin Islands,1,"Virgin Islands, U.S."
VN,Banking University of Ho Chi Minh City,45,Viet Nam
VN,Binh Duong University,45,Viet Nam
VN,Can-Tho University,45,Viet Nam
VN,Danang College Of Technology,45,Viet Nam
VN,Foreign Trade University,45,Viet Nam
VN,FPT University,45,Viet Nam
VN,Hai Duong University,45,Viet Nam
VN,Hanoi Medical University,45,Viet Nam
VN,Hanoi National Economics University,45,Viet Nam
VN,Hanoi Open University,45,Viet Nam
VN,Hanoi University of Architecture,45,Viet Nam
VN,Hanoi University of Civil Engineering,45,Viet Nam
VN,Hanoi University of Mining and Geology,45,Viet Nam
VN,Hanoi University of Science,45,Viet Nam
VN,Hanoi University of Science & Technology,45,Viet Nam
VN,Ho Chi Minh City Open University,45,Viet Nam
VN,Ho Chi Minh City University of Agriculture and Forestry,45,Viet Nam
VN,Ho Chi Minh City University of Architecture,45,Viet Nam
VN,Ho Chi Minh City University of Economics,45,Viet Nam
VN,Ho Chi Minh City University of Foreign Languages and Information Technology,45,Viet Nam
VN,Ho Chi Minh City University of Law,45,Viet Nam
VN,Ho Chi Minh City University of Medicine and Pharmacy,45,Viet Nam
VN,Ho Chi Minh City University of Natural Sciences,45,Viet Nam
VN,Ho Chi Minh City University of Pedagogics,45,Viet Nam
VN,Ho Chi Minh City University of Social Sciences and Humanities,45,Viet Nam
VN,Ho Chi Minh City University of Technology,45,Viet Nam
VN,Ho Chi Minh City University of Transport,45,Viet Nam
VN,Hong Bang University International,45,Viet Nam
VN,Hue University,45,Viet Nam
VN,Hue University of Agriculture and Forestry ,45,Viet Nam
VN,Institute of Finance,45,Viet Nam
VN,Posts & Telecommunications Institute of Technology,45,Viet Nam
VN,RMIT International University Vietnam,45,Viet Nam
VN,Saigon University,45,Viet Nam
VN,Tay Nguyen University,45,Viet Nam
VN,Thainguyen University of Agriculture and Forestry,45,Viet Nam
VN,University of Da Lat,45,Viet Nam
VN,University of Da Nang,45,Viet Nam
VN,University of Technical Education Ho Chi Minh City,45,Viet Nam
VN,University of Transport and Communications,45,Viet Nam
VN,Vietnam Maritime University,45,Viet Nam
VN,Vietnam National University Hanoi,45,Viet Nam
VN,Vietnam National University Ho Chi Minh City,45,Viet Nam
VN,Vietnam National University of Agriculture,45,Viet Nam
VN,Water Resources University,45,Viet Nam
VE,Universidad Bicentenaria de Aragua,37,Venezuela
VE,Universidad Bolivariana de Venezuela,37,Venezuela
VE,Universidad Católica Andres Bello,37,Venezuela
VE,Universidad Católica Cecilio Acosta,37,Venezuela
VE,Universidad Católica del Táchira,37,Venezuela
VE,Universidad Central de Venezuela,37,Venezuela
VE,Universidad Centro Occidental Lisandro Alvarado,37,Venezuela
VE,Universidad de Carabobo,37,Venezuela
VE,Universidad de Los Andes,37,Venezuela
VE,Universidad del Zulia,37,Venezuela
VE,Universidad de Oriente,37,Venezuela
VE,Universidad Dr. Rafael Belloso Chacín,37,Venezuela
VE,Universidad Fermin Toro,37,Venezuela
VE,Universidad Gran Mariscal de Ayacucho,37,Venezuela
VE,Universidad José Antonio Páez,37,Venezuela
VE,Universidad José Maria Vargas,37,Venezuela
VE,Universidad Metropolitana,37,Venezuela
VE,Universidad Monteávila,37,Venezuela
VE,Universidad Nacional Abierta,37,Venezuela
VE,Universidad Nacional Experimental de Guayana,37,Venezuela
VE,Universidad Nacional Experimental de la Fuerza Armada,37,Venezuela
VE,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora""",37,Venezuela
VE,Universidad Nacional Experimental del Táchira,37,Venezuela
VE,"Universidad Nacional Experimental ""Francisco de Miranda""",37,Venezuela
VE,"Universidad Nacional Experimental Politécnica ""Antonio José de Sucre""",37,Venezuela
VE,"Universidad Nacional Experimental ""Rafael Maria Baralt""",37,Venezuela
VE,Universidad Nacional Experimental Romulo Gallegos,37,Venezuela
VE,"Universidad Nacional Experimental ""Simón Rodriguez""",37,Venezuela
VE,"Universidad Nacional Experimental Sur del Lago ""Jesús Maria Semprum""",37,Venezuela
VE,Universidad Nueva Esparta,37,Venezuela
VE,Universidad Pedagógica Experimental Libertador,37,Venezuela
VE,Universidad Rafael Urdaneta,37,Venezuela
VE,Universidad Santa Maria Caracas,37,Venezuela
VE,Universidad Simón Bolivar,37,Venezuela
VE,Universidad Tecnológica del Centro,37,Venezuela
VE,Universidad Valle del Momboy,37,Venezuela
VE,Universidad Yacambu,37,Venezuela
UZ,Ferghana Politechnical Institute,22,Uzbekistan
UZ,International Business School Kelajak ILMI,22,Uzbekistan
UZ,Kokand State Pedagogical Institute,22,Uzbekistan
UZ,"Management Development Institute of Singapore, Tashkent",22,Uzbekistan
UZ,National University of Uzbekistan,22,Uzbekistan
UZ,Nukus State Teachers Training Institute,22,Uzbekistan
UZ,Samarkand State University,22,Uzbekistan
UZ,Tashkent Automobile and Roads Institute,22,Uzbekistan
UZ,Tashkent Institute of Irrigation and Melioration,22,Uzbekistan
UZ,Tashkent Islam University,22,Uzbekistan
UZ,Tashkent Medical Academy,22,Uzbekistan
UZ,Tashkent Pharmaceutical Institute,22,Uzbekistan
UZ,Tashkent School of Finance,22,Uzbekistan
UZ,Tashkent State Agrarian University,22,Uzbekistan
UZ,Tashkent State Technical University,22,Uzbekistan
UZ,Tashkent State University of Economics,22,Uzbekistan
UZ,Tashkent State University of Oriental Studies ,22,Uzbekistan
UZ,Tashkent University of Information Technologies,22,Uzbekistan
UZ,Turin Polytechnic University In Tashkent,22,Uzbekistan
UZ,University of World Economy and Diplomacy,22,Uzbekistan
UZ,Uzbek State World Languages University,22,Uzbekistan
UZ,Westminster International University in Tashkent,22,Uzbekistan
UY,Insituto Universitario - Centro Latinoamericano de Economia Humana - IU Claeh,6,Uruguay
UY,Universidad Católica del Uruguay,6,Uruguay
UY,Universidad de la Empresa (UDE),6,Uruguay
UY,Universidad de la República,6,Uruguay
UY,Universidad de Montevideo,6,Uruguay
UY,Universidad ORT Uruguay,6,Uruguay
US,Abilene Christian University,2074,United States of America
US,Academy of Art College,2074,United States of America
US,Adams State College,2074,United States of America
US,Adelphi University,2074,United States of America
US,Adler School of Professional Psychology,2074,United States of America
US,Adrian College,2074,United States of America
US,Agnes Scott College,2074,United States of America
US,Air Force Institute of Technology,2074,United States of America
US,Alabama Agricultural and Mechanical University,2074,United States of America
US,Alabama State University,2074,United States of America
US,Alaska Bible College,2074,United States of America
US,Alaska Pacific University,2074,United States of America
US,Albany College of Pharmacy,2074,United States of America
US,Albany Law School,2074,United States of America
US,Albany Medical Center,2074,United States of America
US,Albany State University,2074,United States of America
US,Albertus Magnus College,2074,United States of America
US,Albion College,2074,United States of America
US,Albright College,2074,United States of America
US,Alcorn State University,2074,United States of America
US,Alderson Broaddus College,2074,United States of America
US,Alfred Adler Graduate School,2074,United States of America
US,Alfred University,2074,United States of America
US,Alice Lloyd College,2074,United States of America
US,Allegheny College,2074,United States of America
US,Allen University,2074,United States of America
US,Alma College,2074,United States of America
US,Alvernia College,2074,United States of America
US,Alverno College,2074,United States of America
