university,country,region,established,numstudents
Queen Mary%2C University of London,United Kingdom of Great Britain and Northern Ireland,Europe,1887,14820
University of Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,1209,18396
University of St Andrews,United Kingdom of Great Britain and Northern Ireland,Europe,1410,8645
University of Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,1451,23162
University of Aberdeen,United Kingdom of Great Britain and Northern Ireland,Europe,1495,13351
University of Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,1583,28394
National University of C%C3%B3rdoba,Argentina,Americas,1613,111329
University of Amsterdam,Netherlands,Europe,1632,32739
Harvard University,United States of America,Americas,1636,21225
University of Helsinki,Finland,Europe,1640,35200
Lund University,Sweden,Europe,1666,28
Yale University,United States of America,Americas,1701,11593
Kangwon National University,South Korea,Asia,1732,23122
University of Pennsylvania,United States of America,Americas,1740,20643
University of Delaware,United States of America,Americas,1743,19391
Princeton University,United States of America,Americas,1746,7567
Washington and Lee University,United States of America,Americas,1749,2203
Columbia University,United States of America,Americas,1754,27606
Brown University,United States of America,Americas,1764,8649
Rutgers University,United States of America,Americas,1766,56868
Rutgers%E2%80%93New Brunswick,United States of America,Americas,1766,36041
Rutgers%E2%80%93Newark,United States of America,Americas,1766,11804
Rutgers%E2%80%93Camden,United States of America,Americas,1766,6158
Istanbul Technical University,Turkey,Asia,1773,22280
Augusta State University,United States of America,Americas,1785,6919
University of Pittsburgh,United States of America,Americas,1787,28766
University of North Carolina at Chapel Hill,United States of America,Americas,1789,29390
University of Tennessee,United States of America,Americas,1794,27523
Saint Mary's University (Halifax),Canada,Americas,1802,7257
Mount St. Mary's University,United States of America,Americas,1808,2100
University of Western Sydney,Australia,Oceania,1813,37426
University of Michigan,United States of America,Americas,1817,41674
Dalhousie University,Canada,Americas,1818,17261
Saint Louis University,United States of America,Americas,1818,13785
Indiana University,United States of America,Americas,1820,110436
George Washington University,United States of America,Americas,1821,24531
"University of Wales, Lampeter",United Kingdom of Great Britain and Northern Ireland,Europe,1822,9150
Liverpool John Moores University,United Kingdom of Great Britain and Northern Ireland,Europe,1823,24370
Birkbeck%2C University of London,United Kingdom of Great Britain and Northern Ireland,Europe,1823,19020
Leeds Metropolitan University,United Kingdom of Great Britain and Northern Ireland,Europe,1824,41215
University of Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,1825,26073
University of Huddersfield,United Kingdom of Great Britain and Northern Ireland,Europe,1825,19740
Mississippi College,United States of America,Americas,1826,5008
Maryland Institute College of Art,United States of America,Americas,1826,1872
Lindenwood University,United States of America,Americas,1827,17351
Hanover College,United States of America,Americas,1827,1033
State University of New York at New Paltz,United States of America,Americas,1828,7885
Georgia Health Sciences University,United States of America,Americas,1828,2442
King's College London,United Kingdom of Great Britain and Northern Ireland,Europe,1829,18630
University of Richmond,United States of America,Americas,1830,4250
University of Alabama,United States of America,Americas,1831,33602
University of Leeds,United Kingdom of Great Britain and Northern Ireland,Europe,1831,33585
Xavier University,United States of America,Americas,1831,6945
Durham University,United Kingdom of Great Britain and Northern Ireland,Europe,1832,16355
Newcastle University,United Kingdom of Great Britain and Northern Ireland,Europe,1834,19700
University of Gloucestershire,United Kingdom of Great Britain and Northern Ireland,Europe,1834,9940
Lumi%C3%A8re University Lyon 2,France,Europe,1835,27393
University of Wolverhampton,United Kingdom of Great Britain and Northern Ireland,Europe,1835,23470
Emory University,United States of America,Americas,1836,13381
Alfred University,United States of America,Americas,1836,2300
Emory and Henry College,United States of America,Americas,1836,978
Marshall University,United States of America,Americas,1837,14196
Davidson College,United States of America,Americas,1837,1890
Virginia Commonwealth University,United States of America,Americas,1838,31899
Acadia University,Canada,Americas,1838,3000
University of Missouri,United States of America,Americas,1839,34255
Boston University,United States of America,Americas,1839,30823
University of Chester,United Kingdom of Great Britain and Northern Ireland,Europe,1839,15405
Longwood University,United States of America,Americas,1839,4800
Loras College,United States of America,Americas,1839,1683
Bridgewater State University,United States of America,Americas,1840,11201
Saint Mary-of-the-Woods College,United States of America,Americas,1840,1703
Fordham University,United States of America,Americas,1841,15189
Delft University of Technology,Netherlands,Europe,1842,19500
University of Notre Dame,United States of America,Americas,1842,11733
Villanova University,United States of America,Americas,1842,10482
The Citadel%2C The Military College of South Carolina,United States of America,Americas,1842,3540
Willamette University,United States of America,Americas,1842,2566
Mary Baldwin College,United States of America,Americas,1842,2542
Birmingham City University,United Kingdom of Great Britain and Northern Ireland,Europe,1843,24849
Coventry University,United Kingdom of Great Britain and Northern Ireland,Europe,1843,19415
Bishop's University,Canada,Americas,1843,2724
University at Albany%2C SUNY,United States of America,Americas,1844,17500
Liverpool Hope University,United Kingdom of Great Britain and Northern Ireland,Europe,1844,7885
Baylor University,United States of America,Americas,1845,14769
University of Mary Hardin%E2%80%93Baylor,United States of America,Americas,1845,3137
Taylor University,United States of America,Americas,1846,2589
University of Iowa,United States of America,Americas,1847,30328
City College of New York,United States of America,Americas,1847,15889
University of Wisconsin%E2%80%93Madison,United States of America,Americas,1848,42099
Muhlenberg College,United States of America,Americas,1848,2225
Geneva College,United States of America,Americas,1848,1791
Eastern Michigan University,United States of America,Americas,1849,22974
University of Sydney,Australia,Oceania,1850,49020
University of Utah,United States of America,Americas,1850,30819
University of Salford,United Kingdom of Great Britain and Northern Ireland,Europe,1850,19890
St. Mary's University College (Twickenham),United Kingdom of Great Britain and Northern Ireland,Europe,1850,5809
Heidelberg University (Ohio),United States of America,Americas,1850,1600
Defiance College,United States of America,Americas,1850,1000
University of Minnesota,United States of America,Americas,1851,51611
Florida State University,United States of America,Americas,1851,41710
University of Derby,United Kingdom of Great Britain and Northern Ireland,Europe,1851,22125
Santa Clara University College of Arts & Sciences,United States of America,Americas,1851,8846
Santa Clara University,United States of America,Americas,1851,8800
Saint Joseph's University,United States of America,Americas,1851,7542
Lasell College,United States of America,Americas,1851,1760
City University London,United Kingdom of Great Britain and Northern Ireland,Europe,1852,17499
Tufts University,United States of America,Americas,1852,9517
Loyola University Maryland,United States of America,Americas,1852,6080
University of Florida,United States of America,Americas,1853,49589
Washington University in St. Louis,United States of America,Americas,1853,13995
St. Francis Xavier University,Canada,Americas,1853,4927
Central College (Iowa),United States of America,Americas,1853,1650
University of Michigan College of Engineering,United States of America,Americas,1854,8094
University of Evansville,United States of America,Americas,1854,3050
Michigan State University,United States of America,Americas,1855,47800
Southampton Solent University,United Kingdom of Great Britain and Northern Ireland,Europe,1855,17455
Kean University,United States of America,Americas,1855,16000
University of San Francisco,United States of America,Americas,1855,9799
The College of New Jersey,United States of America,Americas,1855,6964
Pennsylvania State University,United States of America,Americas,1855,630
University of Maryland%2C College Park,United States of America,Americas,1856,37641
Auburn University,United States of America,Americas,1856,25469
Niagara University,United States of America,Americas,1856,4200
Albright College,United States of America,Americas,1856,2334
Illinois State University,United States of America,Americas,1857,20762
Edinboro University of Pennsylvania,United States of America,Americas,1857,9106
Keio University,Japan,Asia,1858,32275
Iowa State University,United States of America,Americas,1858,29887
University of Illinois at Chicago,United States of America,Americas,1858,28091
University of Brighton,United Kingdom of Great Britain and Northern Ireland,Europe,1858,21000
Valparaiso University,United States of America,Americas,1859,4061
Averett University,United States of America,Americas,1859,2719
St. Francis College,United States of America,Americas,1859,2636
Alexandru Ioan Cuza University,Romania,Europe,1860,38140
Louisiana State University,United States of America,Americas,1860,25215
Wheaton College (Illinois),United States of America,Americas,1860,2900
Bard College,United States of America,Americas,1860,2305
University of Washington,United States of America,Americas,1861,42907
University of Lincoln,United Kingdom of Great Britain and Northern Ireland,Europe,1861,11722
Massachusetts Institute of Technology,United States of America,Americas,1861,10894
Chapman University,United States of America,Americas,1861,6398
North Central College,United States of America,Americas,1861,2900
University of Plymouth,United Kingdom of Great Britain and Northern Ireland,Europe,1862,30540
University of Southampton,United Kingdom of Great Britain and Northern Ireland,Europe,1862,23315
University of Massachusetts Amherst,United States of America,Americas,1863,27269
Kansas State University,United States of America,Americas,1863,23588
Boston College,United States of America,Americas,1863,14754
Emporia State University,United States of America,Americas,1863,6314
University of Denver,United States of America,Americas,1864,11476
University of Kansas,United States of America,Americas,1865,29462
Cornell University,United States of America,Americas,1865,20939
Indiana State University,United States of America,Americas,1865,12114
University of Maine,United States of America,Americas,1865,11867
Fairmont State University,United States of America,Americas,1865,7740
Rider University,United States of America,Americas,1865,5790
Peru State College,United States of America,Americas,1865,2124
University of Kentucky,United States of America,Americas,1865,2
American University of Beirut,Lebanon,Asia,1866,7943
University of Wisconsin%E2%80%93Platteville,United States of America,Americas,1866,7928
University of Illinois at Urbana%E2%80%93Champaign,United States of America,Americas,1867,42606
West Virginia University,United States of America,Americas,1867,29616
State University of New York at Brockport,United States of America,Americas,1867,8742
Chicago State University,United States of America,Americas,1867,7131
Truman State University,United States of America,Americas,1867,6101
Fayetteville State University,United States of America,Americas,1867,5930
Cedar Crest College,United States of America,Americas,1867,1885
University of Illinois School of Architecture,United States of America,Americas,1867,757
Oregon State University,United States of America,Americas,1868,23761
"Minnesota State University, Mankato",United States of America,Americas,1868,15649
Holy Names University,United States of America,Americas,1868,1331
Purdue University,United States of America,Americas,1869,39697
University of Nebraska%E2%80%93Lincoln,United States of America,Americas,1869,24593
University of Portsmouth,United Kingdom of Great Britain and Northern Ireland,Europe,1869,21827
Southern Illinois University Carbondale,United States of America,Americas,1869,18442
St. Cloud State University,United States of America,Americas,1869,17231
Augsburg College,United States of America,Americas,1869,3785
Freed%E2%80%93Hardeman University,United States of America,Americas,1869,1972
Ohio State University,United States of America,Americas,1870,55014
De Montfort University,United Kingdom of Great Britain and Northern Ireland,Europe,1870,21210
Syracuse University,United States of America,Americas,1870,20407
Loyola University Chicago,United States of America,Americas,1870,15951
Missouri University of Science and Technology,United States of America,Americas,1870,7521
Stevens Institute of Technology,United States of America,Americas,1870,5260
Canisius College,United States of America,Americas,1870,5152
Texas A&M University,United States of America,Americas,1871,46422
University of Arkansas,United States of America,Americas,1871,24595
Buffalo State College,United States of America,Americas,1871,11659
Ohio Northern University,United States of America,Americas,1871,3721
Christian Brothers University,United States of America,Americas,1871,1779
Virginia Tech Corps of Cadets,United States of America,Americas,1872,29898
University of Toledo Medical Center,United States of America,Americas,1872,23336
University of Toledo,United States of America,Americas,1872,23085
Saint Peter's University,United States of America,Americas,1872,2987
Maryville University,United States of America,Americas,1872,2400
Vanderbilt University,United States of America,Americas,1873,12714
Southeast Missouri State University,United States of America,Americas,1873,10477
Mount Saint Vincent University,Canada,Americas,1873,4900
Shorter University,United States of America,Americas,1873,3500
University of Nevada%2C Reno,United States of America,Americas,1874,18004
Eastern Kentucky University,United States of America,Americas,1874,16567
Andrews University,United States of America,Americas,1874,3420
Bath Spa University,United Kingdom of Great Britain and Northern Ireland,Europe,1875,7110
University of Colorado at Boulder,United States of America,Americas,1876,29894
OCAD University,Canada,Americas,1876,4072
Regis University,United States of America,Americas,1877,14706
