ISO_A2,University,Count,Country,Region,Population
ZW,Africa University,15,Zimbabwe,Africa,14899771
ZW,Bindura University of Science Education,15,Zimbabwe,Africa,14899771
ZW,Catholic University in Zimbabwe,15,Zimbabwe,Africa,14899771
ZW,Chinhoyi University of Technology,15,Zimbabwe,Africa,14899771
ZW,Great Zimbabwe University,15,Zimbabwe,Africa,14899771
ZW,Harare Institute of Technology,15,Zimbabwe,Africa,14899771
ZW,Lupane State University,15,Zimbabwe,Africa,14899771
ZW,Midlands State University,15,Zimbabwe,Africa,14899771
ZW,National University of Science and Technology Bulawayo,15,Zimbabwe,Africa,14899771
ZW,Reformed Church University,15,Zimbabwe,Africa,14899771
ZW,Solusi University,15,Zimbabwe,Africa,14899771
ZW,University of Zimbabwe,15,Zimbabwe,Africa,14899771
ZW,Women's University in Africa,15,Zimbabwe,Africa,14899771
ZW,Zimbabwe Ezekiel Guti University,15,Zimbabwe,Africa,14899771
ZW,Zimbabwe Open University,15,Zimbabwe,Africa,14899771
ZM,Cavendish University,8,Zambia,Africa,18468257
ZM,Copperbelt University,8,Zambia,Africa,18468257
ZM,Mulungushi University,8,Zambia,Africa,18468257
ZM,Northrise University,8,Zambia,Africa,18468257
ZM,Rusangu University,8,Zambia,Africa,18468257
ZM,University of Lusaka,8,Zambia,Africa,18468257
ZM,University of Zambia,8,Zambia,Africa,18468257
ZM,Zambian Open University,8,Zambia,Africa,18468257
YE,Alahgaff University,14,Yemen,Asia,29935468
YE,Al-Eman University,14,Yemen,Asia,29935468
YE,Al-Nasser University,14,Yemen,Asia,29935468
YE,Hadhramout University of Science and Technology ,14,Yemen,Asia,29935468
YE,Hodeidah University,14,Yemen,Asia,29935468
YE,Queen Arwa University,14,Yemen,Asia,29935468
YE,Saba University,14,Yemen,Asia,29935468
YE,Sana'a University,14,Yemen,Asia,29935468
YE,Taiz University,14,Yemen,Asia,29935468
YE,Thamar University,14,Yemen,Asia,29935468
YE,University of Aden,14,Yemen,Asia,29935468
YE,University of Modern Sciences,14,Yemen,Asia,29935468
YE,University of Science and Technology Sana'a,14,Yemen,Asia,29935468
YE,Yemenia University,14,Yemen,Asia,29935468
VI,University of the Virgin Islands,1,"Virgin Islands, U.S.",Americas,#N/A
VN,Banking University of Ho Chi Minh City,45,Vietnam,Asia,97490013
VN,Binh Duong University,45,Vietnam,Asia,97490013
VN,Can-Tho University,45,Vietnam,Asia,97490013
VN,Danang College Of Technology,45,Vietnam,Asia,97490013
VN,Foreign Trade University,45,Vietnam,Asia,97490013
VN,FPT University,45,Vietnam,Asia,97490013
VN,Hai Duong University,45,Vietnam,Asia,97490013
VN,Hanoi Medical University,45,Vietnam,Asia,97490013
VN,Hanoi National Economics University,45,Vietnam,Asia,97490013
VN,Hanoi Open University,45,Vietnam,Asia,97490013
VN,Hanoi University of Architecture,45,Vietnam,Asia,97490013
VN,Hanoi University of Civil Engineering,45,Vietnam,Asia,97490013
VN,Hanoi University of Mining and Geology,45,Vietnam,Asia,97490013
VN,Hanoi University of Science,45,Vietnam,Asia,97490013
VN,Hanoi University of Science & Technology,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City Open University,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Agriculture and Forestry,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Architecture,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Economics,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Foreign Languages and Information Technology,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Law,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Medicine and Pharmacy,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Natural Sciences,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Pedagogics,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Social Sciences and Humanities,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Technology,45,Vietnam,Asia,97490013
VN,Ho Chi Minh City University of Transport,45,Vietnam,Asia,97490013
VN,Hong Bang University International,45,Vietnam,Asia,97490013
VN,Hue University,45,Vietnam,Asia,97490013
VN,Hue University of Agriculture and Forestry ,45,Vietnam,Asia,97490013
VN,Institute of Finance,45,Vietnam,Asia,97490013
VN,Posts & Telecommunications Institute of Technology,45,Vietnam,Asia,97490013
VN,RMIT International University Vietnam,45,Vietnam,Asia,97490013
VN,Saigon University,45,Vietnam,Asia,97490013
VN,Tay Nguyen University,45,Vietnam,Asia,97490013
VN,Thainguyen University of Agriculture and Forestry,45,Vietnam,Asia,97490013
VN,University of Da Lat,45,Vietnam,Asia,97490013
VN,University of Da Nang,45,Vietnam,Asia,97490013
VN,University of Technical Education Ho Chi Minh City,45,Vietnam,Asia,97490013
VN,University of Transport and Communications,45,Vietnam,Asia,97490013
VN,Vietnam Maritime University,45,Vietnam,Asia,97490013
VN,Vietnam National University Hanoi,45,Vietnam,Asia,97490013
VN,Vietnam National University Ho Chi Minh City,45,Vietnam,Asia,97490013
VN,Vietnam National University of Agriculture,45,Vietnam,Asia,97490013
VN,Water Resources University,45,Vietnam,Asia,97490013
VE,Universidad Bicentenaria de Aragua,37,Venezuela,Americas,28421581
VE,Universidad Bolivariana de Venezuela,37,Venezuela,Americas,28421581
VE,Universidad CatÃ³lica Andres Bello,37,Venezuela,Americas,28421581
VE,Universidad CatÃ³lica Cecilio Acosta,37,Venezuela,Americas,28421581
VE,Universidad CatÃ³lica del TÃ¡chira,37,Venezuela,Americas,28421581
VE,Universidad Central de Venezuela,37,Venezuela,Americas,28421581
VE,Universidad Centro Occidental Lisandro Alvarado,37,Venezuela,Americas,28421581
VE,Universidad de Carabobo,37,Venezuela,Americas,28421581
VE,Universidad de Los Andes,37,Venezuela,Americas,28421581
VE,Universidad del Zulia,37,Venezuela,Americas,28421581
VE,Universidad de Oriente,37,Venezuela,Americas,28421581
VE,Universidad Dr. Rafael Belloso ChacÃ­n,37,Venezuela,Americas,28421581
VE,Universidad Fermin Toro,37,Venezuela,Americas,28421581
VE,Universidad Gran Mariscal de Ayacucho,37,Venezuela,Americas,28421581
VE,Universidad JosÃ© Antonio PÃ¡ez,37,Venezuela,Americas,28421581
VE,Universidad JosÃ© Maria Vargas,37,Venezuela,Americas,28421581
VE,Universidad Metropolitana,37,Venezuela,Americas,28421581
VE,Universidad MonteÃ¡vila,37,Venezuela,Americas,28421581
VE,Universidad Nacional Abierta,37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental de Guayana,37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental de la Fuerza Armada,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora""",37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental del TÃ¡chira,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""Francisco de Miranda""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental PolitÃ©cnica ""Antonio JosÃ© de Sucre""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""Rafael Maria Baralt""",37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental Romulo Gallegos,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""SimÃ³n Rodriguez""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental Sur del Lago ""JesÃºs Maria Semprum""",37,Venezuela,Americas,28421581
VE,Universidad Nueva Esparta,37,Venezuela,Americas,28421581
VE,Universidad PedagÃ³gica Experimental Libertador,37,Venezuela,Americas,28421581
VE,Universidad Rafael Urdaneta,37,Venezuela,Americas,28421581
VE,Universidad Santa Maria Caracas,37,Venezuela,Americas,28421581
VE,Universidad SimÃ³n Bolivar,37,Venezuela,Americas,28421581
VE,Universidad TecnolÃ³gica del Centro,37,Venezuela,Americas,28421581
VE,Universidad Valle del Momboy,37,Venezuela,Americas,28421581
VE,Universidad Yacambu,37,Venezuela,Americas,28421581
UZ,Ferghana Politechnical Institute,22,Uzbekistan,Asia,33551824
