Country,Region,Location,Current name,Year,Notes
Algeria,Algiers,French Algeria(Algiers),University of Algiers,1909,
Angola,Luanda,Portuguese Angola(Luanda),Agostinho Neto University,1962,"Founded as Estudos Gerais UniversitÃ¡rios de Angola. Was renamed Universidade de Luanda (University of Luanda) in 1968. After Angolan independence from Portugal in 1975, the institution was renamed the University of Angola (Universidade de Angola). In 1985 it was renamed Agostinho Neto University, in honour of Agostinho Neto, the first President of Angola."
Benin,Abomey-Calavi,Republic of Dahomey(Abomey-Calavi),University of Abomey-Calavi,1970,Originally the University of Dahomey. Renamed the National University of Benin in 1975 and took its current name in 2001.
Botswana,Gaborone,"Botswana(Gaborone, Francistown, Maun)",University of Botswana,1964,
Burkina Faso,Ouuagadougou,Republic of Upper Volta(Ouagadougou),University of Ouagadougou,1974,
Burundi,Bujumbura,Kingdom of Burundi(Bujumbura),University of Burundi,1964,
Cameroon,YaoundaoundÃ©,Federal Republic of Cameroon(YaoundÃ©),University of YaoundÃ©,1962,In 1993 following a university reform the University of Yaounde was split into two (University of YaoundÃ© I and University of YaoundÃ© II) following the university branch-model pioneered by the University of Paris.
Cape Verde,Praia,Cape Verde(Praia),Jean Piaget University of Cape Verde,2001,As a result of the merger of the two previously existing higher education establishments (ISE and ISECMAR)
Central African Republic,Bangui,Central African Republic(Bangui),University of Bangui,1969,
Chad,N'Djamena,Chad(N'Djamena),University of N'Djamena,1971,"Originally the University of Chad, renamed the University of N'Djamena 1994."
Comoros,Moroni,Comoros(Moroni),University of the Comoros,2003,
DR Congo,Kinshasa,Belgian Congo(Kinshasa),University of Kinshasa,1954,"Originator established as the Lovanium University, affiliated to the Catholic University of Leuven. Merged into the National University of Zaire in 1971 then demerged under its current name in 1981."
Congo,Brazzaville,People's Republic of the Congo(Brazzaville),Marien Ngouabi University,1971,"Founded as the University of Brazzaville in 1971, changed to current name in 1977."
Djibouti,Djibouti City,Djibouti(Djibouti City),University of Djibouti,2006,
Egypt,Giza,Khedivate of Egypt(Cairo),Cairo University,1908,"The oldest university in Egypt and second oldest higher education institution (after Al-Azhar University, which was founded as a madrasa c. 970 and became a university in 1962)"
Equatorial Guinea,Malabo,Equatorial Guinea(Malabo),National University of Equatorial Guinea,1995,
Eritrea,Mai Nefhi,Eritrea(Mai Nefhi),Eritrea Institute of Technology,2003,"Founded following the closure of the University of Asmara, which had been established as a college in 1958"
Eswatini,Kwaluseni,Swaziland(Kwaluseni),University of Eswatini,1964,"Originally established as the University of Swaziland, changed to current name in 2018"
Ethiopia,Addis,Ethiopian Empire(Addis Ababa),University of Addis Ababa,1950,"The university was originally called the University College of Addis Ababa in 1950, offering courses leading to degrees of the University of London. It became Haile Selassie I University in 1962, named after the Ethiopian Emperor Haile Selassie I. The institution received its current name in 1975."
Gabon,Libreville,Gabon(Libreville),Omar Bongo University,1970,Founded as the National University of Gabon and took current name in 1978
Gambia,Serekunda,Gambia(Serekunda),University of the Gambia,1999,
